start_time,end_time,title,speaker,speaker_link,affiliation,affiliation_link,time
02:00,02:05,Welcome,[Elizabeth Tilley](https://www.linkedin.com/in/elizabeth-tilley-8103b38a//),https://www.linkedin.com/in/elizabeth-tilley-8103b38a/,"[Professor at ETH Zurich, Global Health Engineering](https://ghe.ethz.ch//)",https://ghe.ethz.ch/,02:00 - 02:05
02:05,02:25,openwashdata community & workflow,[Lars Schöbitz](https://openwashdata.org/about/lars//),https://openwashdata.org/about/lars/,"[Open Science Specialist at ETH Zurich, Global Health Engineering](https://ghe.ethz.ch/open-science.html/)",https://ghe.ethz.ch/open-science.html,02:05 - 02:25
02:25,02:45,Open data: A publishers perspective,[Lauren Cadwallader](https://www.linkedin.com/in/lauren-cadwallader//),https://www.linkedin.com/in/lauren-cadwallader/,[Open Research Manager at Public Library of Science (PLOS)](https://plos.org/open-science/open-data//),https://plos.org/open-science/open-data/,02:25 - 02:45
02:45,03:00,Discussion,[Elizabeth Tilley](https://www.linkedin.com/in/elizabeth-tilley-8103b38a//),https://www.linkedin.com/in/elizabeth-tilley-8103b38a/,"[Professor at ETH Zurich, Global Health Engineering](https://ghe.ethz.ch//)",https://ghe.ethz.ch/,02:45 - 03:00
